C,CB,DE,DT,FS,G,ILB,K,LB,LS,LT,OLB,P,QB,RB,RT,S,SS,T,TE,WR,OL,FB,WLB,KR,Team,Year
12545265,8261022,29237295,9084524,4326667,16009807,16047238,2360200,738956,1190000,25353251,5402314,1710000,17518670,12536986,1323049,1328047,9526419,422557,6991775,21300258,0,825000,0,0,carolina-panthers,2020
10797000,7899181,6659692,14728493,0,9183291,18850060,1009961,546920,711000,14500000,30626839,2720400,27828633,7359793,3075000,5686684,0,2950550,19057812,15650314,0,0,0,0,tampa-bay-buccaneers,2020
8142632,16946622,16493013,15208788,4600000,11720310,2400000,4200000,878853,1000000,8325000,13666117,4873441,35589117,10123208,4346924,73802,4806620,258632,13538910,16002779,0,887500,0,0,new-orleans-saints,2020
3351401,30456713,27132101,13521241,1647830,5250229,6019508,3900000,158700,1000133,9171920,12142847,1316200,23874872,5269730,11810000,2773571,10073895,416567,11027519,19506421,0,1452717,0,0,detroit-lions,2020
3862870,13818215,18844189,10927635,12754116,6078287,8023880,2284400,1189563,981821,11206765,17702365,1816666,21869153,7162169,2806051,936090,10750000,426905,11571196,28260404,0,1756667,0,0,minnesota-vikings,2020
4732023,24192109,2666822,21319180,4466450,6091156,11039720,2769999,56666,889167,11119000,34576558,1850000,16479933,6470824,8975000,2034834,0,608597,15811285,28563831,0,0,0,0,chicago-bears,2020
10779357,10221503,8377769,8403490,11076168,14446753,6214960,4016800,923327,769335,16802941,35564439,869717,24652537,7146298,5000000,682420,3475851,613301,8735744,20563887,0,540198,0,0,green-bay-packers,2020
8734451,14067819,14243503,28274783,9961000,12768821,1921237,2629000,323740,1097500,7377672,8445574,750000,21768541,4057922,10995554,1221750,4786528,232901,16034808,30900355,0,0,0,0,philadelphia-eagles,2020
7372682,15160476,27536225,8189993,5616722,12036892,8518254,1970833,892564,887500,7463333,10211950,2739741,35874503,12919899,5886900,1243153,0,1594826,6605930,18417325,142800,0,0,0,dallas-cowboys,2020
2775668,27462801,23383059,1621638,3193353,16949531,18219355,3228940,102056,1091500,6418074,11632766,2785334,9229149,12955696,9593670,572892,3875271,771409,10614294,24932582,0,1210166,0,0,new-york-giants,2020
